"name","address","phone","fax","email"
"ABM Makine San. ve Tic. A.Ş.","İTOB OSB Mah. E. Demirtaş Cad. No:56, 35471","02327822390","02327821468","info@abmgroup.com.tr"
"Adaçam Makina ve Şerit Testere Fabrikası","Hanlı Merkez San. Sitesi 49. Sok. No:33-35 Arifiye","02647771580","","info@adacammakina.com"
"AES Elektronik Makina San. ve Tic. A.Ş.","NOSAB Şeftali Cad. 118 Sk. No:4","02244433390","02244432965","info@aesgroup.com.tr"
"AHC Makine Oto. İnş. Taahhüt San. ve Tic. Ltd. Şti.","","02242420069","","info@ahcmakine.com"
"Airpak Havalandırma ve Filtre Sis. San. Tic. Ltd. Şti.","Birlik Sanayi Sitesi 4.Yol No: 20","02128751228","02128751209","info@airpak.com.tr"
"Akemsan Ağaç Mak. İml. San. Tic. ve Paz. Ltd. Şti.","D100 Karayolu Üzeri Ayvalık Mevkii","02642912250","02642751144","pazarlama@akemsan.com.tr"
"Akkuşlar Makina ve Dış Tic. San.Tic.Ltd.Şti.","Çobançeşme, Nish İstanbul, Sanayi Cd. No:44 D:B Blok Ofis 181","02126672590","02124769244","muhasebe.akkuslar@gmail.com"
"Aks Kesici Takımları İth. İhr. San. Tic. San. Tic. Ltd. Şti","Mimar Sinan Mah. Üsküdar Cad. Yedpa Ticaret Merkezi E Cadde no :29","02164711888","","info@akstakim.com"
"Aksakal Mobilya Makine San. Tic. Ltd. Şti.","","03622669500","03622664455","muhasebe@aksakalgrup.com"
"Altelsan Enerji Tesisleri Ltd. Şti.","7004/7 Sok. No:4/6 Pınarbaşı","02324364010","02324364020","info@krccnc.com"
"Alternatif Mak. San. ve Dan. Hizm. Ltd. Şti.","Perpa Ticaret Merkezi B Blok Kat: 2 No: 89","02122227838","02122227832","info@altermak.com"
"Ankes Kesici Takım San. ve Tic. Ltd. Şti.","Ereğli Cad. No: 109","03123517336","03123517346","info@ankes.net"
"Arel Arçağ Elk.Mak.San. ve Tic.Ltd.Şti.","1202/1 Cad. (Eski 31.Sok) No:109-111 Ostim","03123850202","","arel@arel.com.tr"
"Art Makina Kesici Takımlar San. Tic. Ltd. Şti","Aydınlı Mah. Melodi Sk. No: 2/9","(0 216) 593 24 75","(0 216) 593 24 76","info@artmakina.com"
"As Makina San. ve Teknik Hizmetler Tic. Ltd. Şti.","Y. Dudullu OSB 1. Cad. No: 30/A","02164154556","02164990817","info@asmetal.com.tr"
"As Metal Ağaç Mak. San. ve Tic. Ltd. Şti.","Y. Dudullu OSB 1. Cad. No: 30/A","02164154556","02164990817","info@asmetal.com.tr"
"As Wood Makina Elek. İnş. Mad. Tur. San. ve Tic. Ltd.Şti","Meclis Mah. Atatürk Cad. No:53","02164200458","","aswood@aswood.com.tr"
"Ayza Mızrak Makine San. ve Tic. Ltd. Şti.","Çalı San. Bölg. Fevzi Çakmak Cad. No:15","02244822710","02244822650","info@ayzamizrak.com.tr"
"Bala Mak. San. Tic. Ltd. Şti.","Süleymaniye Mah. 6 Eylül Cad. No:44","02247154657","02247154667","bala@balamakina.com.tr"
"Baromak Makine Ltd. Şti.","Çalı Mah. 37.(410) SK. Fabrika Binası No:23 B İç Kapı No:1 Nilüfer/BURSA","0224 411 19 89","","export@baromak.com.tr"
"Bay-Tes Testere Bayram Ayral","","05323627648","","info@baytestestere.net"
"Baylar Atölye Mobilya ve Aydınlatma Tic. Ltd. Şti.","Küçükbakkalköy Mh. Dereboyu Cd. No: 3A Brandium AVM R5 Blok Kat: 6 Daire:39","02163131692","02165260798","info@baylaratolye.com"
"Berat Makina İbrahim Yolcu","","05058930097","","beratmakinam@gmail.com"
"Biesse Turkey Makine Tic. ve San. A.Ş.","Büyükbakkalköy Mah. Samandıra Yolu Sok. No:24","02165285800","02165285858","sales.turkiye@biesse.com"
"Bilkes Kesici Takım İmalatı San. ve Tic. Ltd. Şti.","Önder Mah. Çamlıtepe Cad. No:294","03123511029","03123511025","info@bilkes.com.tr"
"Bilteks Makina Kesici Takım İnş. Turz. Isıt. Soğ. San. ve Tic. Ltd. Şti.","İTOB OSB. San. 10023. Sok. No:11 Tekeli","02327990223","","bilteks@bilteksmakina.com.tr"
"Bozdemir Çelik Reklam İnşaat Otomotiv Sanayi ve Ticaret Limited Şirketi","Seyrantepe Mh. Cidar Sk. No:5-A","2126252474","2126252475","info@istanbulcelik.com"
"BSA Mak. İnş. ve Bilgisayar Tic. Ltd. Şti.","Ferhatpaşa Mah. G-29 Sok. Leda İş Merkezi No: 19 - 21","02163058219","02163524587","info@bsayazilim.com.tr"
"Bup Kesici Takımlar San. Ltd. Şti.","Mimar Sinan Mah. YEDPA Bulvarı YEDPA İş Mrk. C Cad. No: 60","02166615214","02166615215","info@bup.com.tr"
"Çam Ticaret Kesici Takımlar İml. ve Paz. Ltd. Şti.","Organize Sanayi Bölgesi Keresteciler Sitesi 17.Blok No:29-31","02126700078","","info@camticaret.com"
"Canmaksan Müh. Mak. Elekt. Elektron. Paz. San. Tic. Ltd. Şti.","Organize Sanayi Bölgesi 1.Cadde Desen Sok. No:6","02247149720","02247149723","info@canmaksan.com.tr"
"CE Ahşap Makineleri Tic. Ltd. Şti","Esentepe Mah. Milangaz Cd. No:77/1 D:124","2163090038","","info@ceahsapmakineleri.com"
"Çetinmak Mak. Yedek Parça San. ve Tic. Ltd. Şti.","Süleyman Demirel Cad. No: 50","02327825200","02327824292","info@cetinmak.com.tr"
"Dinçmak Mak. San. ve Tic. Ltd. Şti.","Çalı San. Bölgesi, Sarıyerler Cad. No:30, 16130","02244431993","02244431994","info@dincmak.com"
"DÜRR Systems Makine Müh. Proj. İth. İhr. Ltd. Şti.","","02163659705","","sales-turkey@homag.com"
"Edda Makine Amb. Nak. İnş. Kimya San. Tic. Ltd. Şti.","","+90 224 441 23 41","+90 224 441 03 65","info@eddamakine.com"
"Efo Makina İnşaat Gıda Sanayi ve Ticaret Limited Şirketi","","0850 850 60 12","","info@efomakina.com.tr"
"Elfamak Makine Teknolojileri ve Elektronik San. ve Tic. Ltd. Şti.","Fevzi Çakmak Mah. Ankara Cad. 10753 Sok. No:5-A","03323583939","","info@elfamak.com.tr"
"Emin Tosun Makine San. ve Tic. Ltd. Şti.","Kayapa Mh. Kayapa Yolu Cd. No:17","02244436265","02244436269","info@emintosun.com"
